"Nom usuel de l'installation","Numéro de l'installation","Nom de la commune","Code INSEE","Code postal","Nom du lieu dit","Numero de la voie","Nom de la voie","location","Longitude","Latitude","Aucun aménagement d'accessibilité","Accessibilité handicapés à mobilité réduite","Accessibilité handicapés sensoriels","Emprise foncière en m2","Gardiennée avec ou sans logement de gardien","Multi commune","Présence d'un internet","Nombre de couvert ","Nombre de lit","Nombre total de place de parking","Nombre total de place de parking handicapés","Installation particulière","Desserte métro","Desserte bus","Desserte Tram","Desserte train","Desserte bateau","Desserte autre","Nombre total d'équipements sportifs","Nombre total de fiches équipements","Date de création de la fiche installation","Date de mise à jour de la fiche installation"
"Gymnase St Joseph","440360021","Châteaubriant","44036","44110","","22","Rue De La Libération","[ 47.716743 , -1.376516]","-1.376516","47.716743","Non","Oui","Non","NULL","Non","Non","Non","0","0","22","0"," Non","Non","Oui","Non","Non","Non","Non","1","1","2005-10-19 00:00:00.000","2012-06-27 00:00:00.000"
"Groupe Scolaire St Joseph Nazareth","440360023","Châteaubriant","44036","44110","","9","Rue De La Libération","[ 47.716743 , -1.376516]","-1.376516","47.716743","Non","Oui","Non","NULL","Avec logement de gardien","Non","Non","1000","0","0","0","Etablissement scolaire","Non","Oui","Non","Non","Non","Non","5","2","2005-10-19 00:00:00.000","2012-06-27 00:00:00.000"
"Circuits De Randonnees","440360024","Châteaubriant","44036","44110","","","","[ 47.716743 , -1.376516]","-1.376516","47.716743","Oui","Non","Non","NULL","Non","Oui","Non","0","0","0","0"," Non","Non","Oui","Non","Oui","Non","Non","3","3","2005-11-17 00:00:00.000","2016-12-22 00:00:00.000"
"Lycee Polyvalent Guy Moquet - Etienne Lenoir","440360025","Châteaubriant","44036","44110","","9","Rue De L'Europe","[ 47.716743 , -1.376516]","-1.376516","47.716743","Non","Oui","Non","NULL","Avec logement de gardien","Non","Oui","450","315","0","0","Etablissement scolaire","Non","Oui","Non","Non","Non","Non","2","2","2005-10-24 00:00:00.000","2012-06-06 00:00:00.000"
"Annexe Du College Saint Joseph","440360027","Châteaubriant","44036","44110","","20","Bd Victor Hugo","[ 47.716743 , -1.376516]","-1.376516","47.716743","Oui","Non","Non","NULL","Non","Non","Non","0","0","0","0"," Non","Non","Oui","Non","Non","Non","Non","3","2","2007-03-23 00:00:00.000","2012-06-27 00:00:00.000"
"Guy Mocquet","440360029","Châteaubriant","44036","44110","","","Rue Des Déportés Résistants","[ 47.716743 , -1.376516]","-1.376516","47.716743","Non","Oui","Non","1500","Non","Non","Non","0","0","50","2"," Non","Non","Oui","Non","Non","Non","Non","2","2","2008-02-01 00:00:00.000","2016-12-22 00:00:00.000"
"Etang Du Chene Au Borgne","440360030","Châteaubriant","44036","44110","Le Chêne Au Borgne","","D 178","[ 47.716743 , -1.376516]","-1.376516","47.716743","Oui","Non","Non","NULL","Non","Non","Non","0","0","0","0"," Non","Non","Oui","Non","Non","Non","Non","1","1","2008-04-21 00:00:00.000","2016-12-22 00:00:00.000"
"Halle De Tennis Maurice Deniaud","440360033","Châteaubriant","44036","44110","","24","Route Des Fougerays","[ 47.716743 , -1.376516]","-1.376516","47.716743","Non","Oui","Non","NULL","Non","Non","Non","0","0","25","2"," Non","Non","Oui","Non","Non","Non","Non","5","3","2009-05-15 00:00:00.000","2016-12-22 00:00:00.000"
"Centre Equestre De Bere","440360034","Châteaubriant","44036","44110","","","Route De Bain De Bretagne Rd 772","[ 47.716743 , -1.376516]","-1.376516","47.716743","Non","Oui","Non","NULL","Non","Non","Non","0","0","10","2"," Non","Non","Oui","Non","Non","Non","Non","3","3","2010-06-24 00:00:00.000","2016-12-23 00:00:00.000"
"Boulodrome De Chateaubriant","440360035","Châteaubriant","44036","44110","","","Rue Amand Franco","[ 47.716743 , -1.376516]","-1.376516","47.716743","Non","Oui","Non","NULL","Non","Non","Non","0","0","0","0"," Non","Non","Oui","Non","Non","Non","Non","2","2","2010-09-07 00:00:00.000","2016-12-08 00:00:00.000"
"Quartier De La Ville Aux Roses","440360036","Châteaubriant","44036","44110","","","Place Gabriel Fauré","[ 47.716743 , -1.376516]","-1.376516","47.716743","Non","Oui","Non","NULL","Non","Non","Non","0","0","0","0"," Non","Non","Oui","Non","Non","Non","Non","2","2","2012-06-13 00:00:00.000","2016-12-22 00:00:00.000"
"Lotissement De Deil","440360037","Châteaubriant","44036","44110","","","Rue Charles Perrault","[ 47.716743 , -1.376516]","-1.376516","47.716743","Non","Oui","Non","NULL","Non","Non","Non","0","0","0","0"," Non","Non","Non","Non","Non","Non","Non","2","2","2012-06-13 00:00:00.000","2016-12-22 00:00:00.000"
"Parc De Renac","440360038","Châteaubriant","44036","44110","","","Rue André Maurois","[ 47.716743 , -1.376516]","-1.376516","47.716743","Oui","Non","Non","NULL","Non","Non","Non","0","0","0","0"," Non","Non","Non","Non","Non","Non","Non","2","2","2012-06-13 00:00:00.000","2016-12-22 00:00:00.000"
"Ecole Des Terrasses","440360039","Châteaubriant","44036","44110","","2","Rue Henri Dunant","[ 47.716743 , -1.376516]","-1.376516","47.716743","Oui","Non","Non","NULL","Non","Non","Non","0","0","0","0"," Non","Non","Oui","Non","Oui","Non","Non","1","1","2012-06-13 00:00:00.000","2016-12-22 00:00:00.000"
"Bois De Tugny","440360040","Châteaubriant","44036","44110","","","Avenue Quentin Miglioretti","[ 47.716743 , -1.376516]","-1.376516","47.716743","Oui","Non","Non","NULL","Non","Non","Non","0","0","0","0"," Non","Non","Non","Non","Non","Non","Non","2","2","2012-06-20 00:00:00.000","2016-12-08 00:00:00.000"
"Terrain Multisports Des Briotais","440360041","Châteaubriant","44036","44110","","","Rue Des Oliviers","[ 47.716743 , -1.376516]","-1.376516","47.716743","Non","Oui","Non","NULL","Non","Non","Non","0","0","0","0"," Non","Non","Non","Non","Non","Non","Non","2","2","2016-12-23 00:00:00.000","2016-12-23 00:00:00.000"
"Terrain Multisports De La Ville Marie","440360042","Châteaubriant","44036","44110","","","Rue De Nancy","[ 47.716743 , -1.376516]","-1.376516","47.716743","Non","Oui","Non","NULL","Non","Non","Non","0","0","0","0"," Non","Non","Non","Non","Non","Non","Non","2","2","2016-12-23 00:00:00.000","2016-12-23 00:00:00.000"
"Aquachoisel","440360043","Châteaubriant","44036","44110","","","Rue De La Galissonnière","[ 47.716743 , -1.376516]","-1.376516","47.716743","Non","Oui","Non","NULL","Non","Non","Non","0","0","120","10"," Non","Non","Non","Non","Non","Non","Non","3","3","2016-12-23 00:00:00.000","2016-12-23 00:00:00.000"
"Halle De Judo","440360044","Châteaubriant","44036","44110","","26","Route Des Fougerays","[ 47.716743 , -1.376516]","-1.376516","47.716743","Non","Oui","Non","NULL","Non","Non","Non","0","0","40","3"," Non","Non","Oui","Non","Non","Non","Non","1","1","2016-12-23 00:00:00.000","2016-12-23 00:00:00.000"
"Base De Loisirs De Pont Caffino","440370001","Château-Thébaud","44037","44690","","","Site De Pont Caffino","[ 47.124604 , -1.419937]","-1.419937","47.124604","Oui","Non","Non","NULL","Non","Oui","Non","0","0","0","0","Base de plein air et/ou de loisirs","Non","Non","Non","Non","Non","Non","6","6","2005-08-02 00:00:00.000","2015-05-07 00:00:00.000"
"Salle De La Tour","440370002","Château-Thébaud","44037","44690","","","Place De L'Église","[ 47.124604 , -1.419937]","-1.419937","47.124604","Oui","Non","Non","0","Non","Non","Non","0","0","0","0"," Non","Non","Oui","Non","Non","Non","Non","1","1","2005-08-02 00:00:00.000","2015-06-23 00:00:00.000"
"Complexe Sportif","440370004","Château-Thébaud","44037","44690","","","Rue Des Sports","[ 47.124604 , -1.419937]","-1.419937","47.124604","Non","Oui","Non","0","Non","Non","Non","0","0","40","1","Complexe sportif","Non","Oui","Non","Non","Non","Non","5","4","2005-08-02 00:00:00.000","2015-06-23 00:00:00.000"
"Stade Municipal","440370005","Château-Thébaud","44037","44690","","","Rue De La Haie","[ 47.124604 , -1.419937]","-1.419937","47.124604","Non","Oui","Non","NULL","Non","Non","Non","0","0","41","0"," Non","Non","Non","Non","Non","Non","Non","2","2","2005-09-20 00:00:00.000","2015-06-23 00:00:00.000"
"Espace Du Bois Joli","440370007","Château-Thébaud","44037","44690","","","Rue Du Bois Joli","[ 47.124604 , -1.419937]","-1.419937","47.124604","Non","Oui","Non","NULL","Non","Non","Non","0","0","140","5"," Non","Non","Non","Non","Non","Non","Non","3","3","2008-11-06 00:00:00.000","2015-06-23 00:00:00.000"
"Salle Du Bois De La Haie","440370008","Château-Thébaud","44037","44690","","","Rue Des Écoles","[ 47.124604 , -1.419937]","-1.419937","47.124604","Non","Oui","Non","NULL","Non","Non","Non","0","0","23","1"," Non","Non","Oui","Non","Non","Non","Non","1","1","2011-04-19 00:00:00.000","2015-06-23 00:00:00.000"
"Terrain De Boules","440370009","Château-Thébaud","44037","44690","","","Place De L'Église","[ 47.124604 , -1.419937]","-1.419937","47.124604","Oui","Non","Non","NULL","Non","Non","Non","0","0","0","0"," Non","Non","Oui","Non","Non","Non","Non","1","1","2011-04-19 00:00:00.000","2015-06-23 00:00:00.000"
"Ecole Marcel Canonnet","440370010","Château-Thébaud","44037","44690","","10","Rue Du Prieuré","[ 47.124604 , -1.419937]","-1.419937","47.124604","Non","Oui","Non","NULL","Non","Non","Non","0","0","7","1","Etablissement scolaire","Non","Oui","Non","Non","Non","Non","2","2","2011-04-19 00:00:00.000","2015-06-23 00:00:00.000"
"Circuits De Randonnee","440370011","Château-Thébaud","44037","44690","","","","[ 47.124604 , -1.419937]","-1.419937","47.124604","Oui","Non","Non","NULL","Non","Non","Non","0","0","0","0"," Non","Non","Non","Non","Non","Non","Non","3","3","2011-04-21 00:00:00.000","2015-06-23 00:00:00.000"
"Complexe Sportif Du Pinier","440380001","Chauvé","44038","44320","","","Rue Du Stade","[ 47.150638 , -1.986897]","-1.986897","47.150638","Non","Oui","Non","1600","Non","Non","Non","0","0","50","2","Complexe sportif","Non","Non","Non","Non","Non","Non","7","6","2005-08-02 00:00:00.000","2015-06-04 00:00:00.000"
"Zone De Loisirs","440380002","Chauvé","44038","44320","","","Le Bourg","[ 47.150638 , -1.986897]","-1.986897","47.150638","Non","Oui","Non","37000","Non","Non","Non","0","0","0","0"," Non","Non","Oui","Non","Non","Non","Non","4","4","2005-11-09 00:00:00.000","2015-06-04 00:00:00.000"
"Circuits De Randonnees","440380003","Chauvé","44038","44320","La Pauvredie","","","[ 47.150638 , -1.986897]","-1.986897","47.150638","Oui","Non","Non","NULL","Non","Non","Non","0","0","0","0"," Non","Non","Oui","Non","Non","Non","Non","3","3","2005-11-10 00:00:00.000","2015-06-04 00:00:00.000"
"Espace Equestre Du Pays De Retz","440380004","Chauvé","44038","44320","Ferme Des Gautrais","","Rd 6","[ 47.150638 , -1.986897]","-1.986897","47.150638","Oui","Non","Non","NULL","Avec logement de gardien","Non","Non","0","0","0","0"," Non","Non","Non","Non","Non","Non","Non","4","4","2006-04-19 00:00:00.000","2015-06-04 00:00:00.000"
"Salle Municipale","440380006","Chauvé","44038","44320","","","Place Du Champ De Foire","[ 47.150638 , -1.986897]","-1.986897","47.150638","Non","Oui","Non","NULL","Non","Non","Non","0","0","0","0"," Non","Non","Oui","Non","Non","Non","Non","1","1","2010-07-20 00:00:00.000","2015-06-04 00:00:00.000"
"Aire De Loisirs","440390001","Cheix-en-Retz","44039","44640","","","Rue Des Quarterons","[ 47.181243 , -1.816274]","-1.816274","47.181243","Oui","Non","Non","13000","Non","Non","Non","0","0","20","1"," Non","Non","Non","Non","Non","Non","Non","3","2","2005-08-02 00:00:00.000","2014-06-18 00:00:00.000"
"Circuits De Randonnees","440390002","Cheix-en-Retz","44039","44640","","","Place Saint-Martin","[ 47.181243 , -1.816274]","-1.816274","47.181243","Oui","Non","Non","NULL","Non","Non","Non","0","0","0","0"," Non","Non","Oui","Non","Non","Non","Non","1","1","2005-10-26 00:00:00.000","2014-06-18 00:00:00.000"
"La Pierre Tremblante","440390003","Cheix-en-Retz","44039","44640","","","Chemin Des Rives","[ 47.181243 , -1.816274]","-1.816274","47.181243","Oui","Non","Non","NULL","Non","Non","Non","0","0","0","0"," Non","Non","Oui","Non","Non","Non","Non","1","1","2005-10-26 00:00:00.000","2014-06-18 00:00:00.000"
"Terrain De Ball-Trap","440390004","Cheix-en-Retz","44039","44640","La Pierre Tremblante","","","[ 47.181243 , -1.816274]","-1.816274","47.181243","Oui","Non","Non","16500","Non","Non","Non","0","0","0","0"," Non","Non","Non","Non","Non","Non","Non","1","1","2008-02-15 00:00:00.000","2014-06-18 00:00:00.000"
"Ecole Publique","440390005","Cheix-en-Retz","44039","44640","","1","Rue Des Quarterons","[ 47.181243 , -1.816274]","-1.816274","47.181243","Non","Oui","Non","NULL","Non","NULL","Non","0","0","0","0","Etablissement scolaire","Non","Non","Non","Non","Non","Non","1","1","2010-08-23 00:00:00.000","2014-10-06 00:00:00.000"
"Bungalow Pres De L'Ecole","440390006","Cheix-en-Retz","44039","44640","","","Rue Des Quarterons","[ 47.181243 , -1.816274]","-1.816274","47.181243","Oui","Non","Non","NULL","Non","Non","Non","0","0","0","0"," Non","Non","Non","Non","Non","Non","Non","1","1","2014-06-18 00:00:00.000","2014-06-18 00:00:00.000"
"Complexe Sportif De La Pacauderie","440400001","Chéméré","44040","44680","","","La Pacauderie","[ 47.121751 , -1.915931]","-1.915931","47.121751","Non","Oui","Non","53000","Non","Non","Non","0","0","190","2","Complexe sportif","Non","Oui","Non","Non","Non","Non","4","4","2005-08-02 00:00:00.000","2014-05-22 00:00:00.000"
"Parc De Loisirs","440400002","Chéméré","44040","44680","Le Bourg","","","[ 47.121751 , -1.915931]","-1.915931","47.121751","Non","Oui","Non","30000","Non","Non","Non","0","0","50","2"," Non","Non","Oui","Non","Non","Non","Non","6","5","2005-10-26 00:00:00.000","2014-05-22 00:00:00.000"
"Circuits De Randonnee","440400003","Chéméré","44040","44680","","","Parc De Loisirs","[ 47.121751 , -1.915931]","-1.915931","47.121751","Non","Oui","Non","NULL","Non","Non","Non","0","0","50","2"," Non","Non","Oui","Non","Non","Non","Non","3","3","2005-11-16 00:00:00.000","2014-05-22 00:00:00.000"
"Centre Apalos - Chateau De Noirbreuil","440400004","Chéméré","44040","44680","Noirbreuil","","","[ 47.121751 , -1.915931]","-1.915931","47.121751","Non","Oui","Non","170000","Avec logement de gardien","Non","Oui","350","100","30","2"," Non","Non","Non","Non","Non","Non","Non","8","8","2005-11-16 00:00:00.000","2012-12-10 00:00:00.000"
"Terrain De Ball-Trap","440400006","Chéméré","44040","44680","Le Brandais","","","[ 47.121751 , -1.915931]","-1.915931","47.121751","Oui","Non","Non","NULL","Non","Non","Non","0","0","0","0"," Non","Non","Non","Non","Non","Non","Non","1","1","2007-06-25 00:00:00.000","2014-10-06 00:00:00.000"
"Salle Municipale","440400007","Chéméré","44040","44680","","1","Impasse Des Caillebottes","[ 47.121751 , -1.915931]","-1.915931","47.121751","Non","Oui","Non","NULL","Non","Non","Non","0","0","0","0"," Non","Non","Oui","Non","Non","Non","Non","1","1","2008-09-17 00:00:00.000","2014-05-22 00:00:00.000"
"Salle De Billard La Carambole","440400008","Chéméré","44040","44680","","","Rue De Pornic","[ 47.121751 , -1.915931]","-1.915931","47.121751","Non","Oui","Non","200","Non","Non","Non","0","0","14","1"," Non","Non","Oui","Non","Non","Non","Non","1","1","2009-09-21 00:00:00.000","2014-05-22 00:00:00.000"
"Stade Municipal","440410001","Chevrolière","44041","44118","","","La Grande Noë","[ 47.090226 , -1.612705]","-1.612705","47.090226","Oui","Non","Non","30000","Non","Non","Non","0","0","200","0"," Non","Non","Oui","Non","Non","Non","Non","4","4","2005-08-02 00:00:00.000","2015-05-07 00:00:00.000"
"Complexe Sportif Hugues Martin","440410002","Chevrolière","44041","44118","","","Rue Du Stade","[ 47.090226 , -1.612705]","-1.612705","47.090226","Oui","Non","Non","4600","Non","Non","Non","0","0","50","1","Complexe sportif","Non","Oui","Non","Non","Non","Non","14","10","2005-08-02 00:00:00.000","2015-05-07 00:00:00.000"
"Ferme Equestre De La Bourionnerie","440410003","Chevrolière","44041","44118","La Bourionnerie","5","","[ 47.090226 , -1.612705]","-1.612705","47.090226","Non","Oui","Non","NULL","Non","Oui","Non","0","0","5","0"," Non","Non","Non","Non","Non","Non","Non","2","2","2005-11-16 00:00:00.000","2015-05-07 00:00:00.000"
"Circuits De Randonnee","440410004","Chevrolière","44041","44118","","","","[ 47.090226 , -1.612705]","-1.612705","47.090226","Non","Oui","Non","NULL","Non","Non","Non","0","0","0","0"," Non","Non","Oui","Non","Non","Non","Non","3","3","2005-11-16 00:00:00.000","2015-05-07 00:00:00.000"
"Site De Passay","440410005","Chevrolière","44041","44118","Passay","","","[ 47.090226 , -1.612705]","-1.612705","47.090226","Non","Oui","Non","NULL","Non","Non","Non","0","0","0","0"," Non","Non","Oui","Non","Non","Non","Non","1","1","2011-03-25 00:00:00.000","2015-05-07 00:00:00.000"
"Salle De Billard","440410007","Chevrolière","44041","44118","","","Rue Du Verger","[ 47.090226 , -1.612705]","-1.612705","47.090226","Oui","Non","Non","NULL","Non","Non","Non","0","0","60","2"," Non","Non","Oui","Non","Non","Non","Non","1","1","2007-06-27 00:00:00.000","2015-05-07 00:00:00.000"
"Site Du Ruisseau De La Chaussee","440410010","Chevrolière","44041","44118","","","Rue De La Chaussée","[ 47.090226 , -1.612705]","-1.612705","47.090226","Non","Oui","Non","NULL","Non","Non","Non","0","0","0","0"," Non","Non","Oui","Non","Non","Non","Non","1","1","2009-05-13 00:00:00.000","2015-05-07 00:00:00.000"
"Terrains Multisports","440410011","Chevrolière","44041","44118","","","Rue Du Docteur Grosse","[ 47.090226 , -1.612705]","-1.612705","47.090226","Non","Oui","Non","NULL","Non","Non","Non","0","0","5","1"," Non","Non","Non","Non","Non","Non","Non","2","2","2015-05-05 00:00:00.000","2015-10-30 00:00:00.000"
"Complexe Du Val De Moine","440430001","Clisson","44043","44190","","","Rue Pierre De Coubertin","[ 47.086633 , -1.284105]","-1.284105","47.086633","Non","Oui","Non","0","Non","Non","Non","0","0","400","3","Complexe sportif","Non","Oui","Non","Non","Non","Non","13","12","2005-08-02 00:00:00.000","2017-04-14 00:00:00.000"
"Gymnase Cacault","440430002","Clisson","44043","44190","","5 Ter","Esplanade De Klettgau","[ 47.086633 , -1.284105]","-1.284105","47.086633","Oui","Non","Non","NULL","Non","Non","Non","0","0","12","2","Complexe sportif","Non","Non","Oui","Non","Non","Non","8","7","2005-09-14 00:00:00.000","2015-10-27 00:00:00.000"
"Moulin De Plessard","440430003","Clisson","44043","44190","Moulin De Plessard","","","[ 47.086633 , -1.284105]","-1.284105","47.086633","Non","Oui","Non","NULL","Non","Oui","Non","0","0","0","0"," Non","Non","Non","Non","Non","Non","Non","3","3","2005-09-21 00:00:00.000","2015-10-14 00:00:00.000"
"Aqua Plen' Form","440430004","Clisson","44043","44190","","4","Ruelle Du Nid D'Oie","[ 47.086633 , -1.284105]","-1.284105","47.086633","Oui","Non","Non","NULL","Non","Non","Non","0","0","0","0"," Non","Non","Oui","Non","Oui","Non","Non","2","2","2005-09-21 00:00:00.000","2015-05-07 00:00:00.000"
"Circuits De Randonnee","440430005","Clisson","44043","44190","","","","[ 47.086633 , -1.284105]","-1.284105","47.086633","Oui","Non","Non","NULL","Non","Non","Non","0","0","0","0"," Non","Non","Oui","Non","Oui","Non","Non","3","3","2005-11-18 00:00:00.000","2015-10-15 00:00:00.000"
"Aquaval","440430006","Clisson","44043","44190","","","Esplanade De Klettgan","[ 47.086633 , -1.284105]","-1.284105","47.086633","Non","Oui","Non","2000","Non","Non","Non","0","0","0","0","Piscine","Non","Oui","Non","Oui","Non","Non","3","3","2005-11-18 00:00:00.000","2015-10-15 00:00:00.000"
"College Immaculee Conception","440430007","Clisson","44043","44190","","65","Rue Du Docteur M. Boutin","[ 47.086633 , -1.284105]","-1.284105","47.086633","Oui","Non","Non","NULL","Non","Non","Non","0","0","10","2","Etablissement scolaire","Non","Oui","Oui","Non","Non","Non","6","6","2005-11-21 00:00:00.000","2015-05-07 00:00:00.000"
"Stand De La Clissonnaise","440430009","Clisson","44043","44190","Parc Du Chateau","27","Rue Des Halles","[ 47.086633 , -1.284105]","-1.284105","47.086633","Non","Oui","Non","NULL","Non","Non","Non","0","0","0","0"," Non","Non","Oui","Oui","Non","Non","Non","2","2","2006-01-11 00:00:00.000","2015-05-07 00:00:00.000"
"Parc Henri Iv","440430011","Clisson","44043","44190","Parc Henri Iv","","","[ 47.086633 , -1.284105]","-1.284105","47.086633","Oui","Non","Non","NULL","Sans logement de gardien","Non","Non","0","0","8","0"," Non","Non","Non","Non","Oui","Non","Non","2","2","2006-01-18 00:00:00.000","2015-10-15 00:00:00.000"
"Maison Des Associations","440430012","Clisson","44043","44190","","25","Rue De La Madeleine","[ 47.086633 , -1.284105]","-1.284105","47.086633","Non","Oui","Non","NULL","Non","Non","Non","0","0","11","3"," Non","Non","Non","Non","Non","Non","Non","1","1","2006-01-18 00:00:00.000","2015-10-27 00:00:00.000"
"Site Du Gervaux","440430013","Clisson","44043","44190","","","Rue De Gervaux","[ 47.086633 , -1.284105]","-1.284105","47.086633","Oui","Non","Non","NULL","Non","Non","Non","0","0","0","0"," Non","Non","Non","Non","Non","Non","Non","1","1","2007-09-18 00:00:00.000","2015-10-27 00:00:00.000"
"Be Form","440430015","Clisson","44043","44190","Za Tabari Sud","","Rue Des Filatures","[ 47.086633 , -1.284105]","-1.284105","47.086633","Non","Oui","Non","NULL","Non","Non","Non","0","0","30","0"," Non","Non","Non","Non","Non","Non","Non","3","3","2011-06-08 00:00:00.000","2015-05-07 00:00:00.000"
"Groupe Scolaire Jacques Prevert","440430016","Clisson","44043","44190","","","Esplanade De Klettgau","[ 47.086633 , -1.284105]","-1.284105","47.086633","Non","Oui","Non","NULL","Non","Non","Non","0","0","0","0","Etablissement scolaire","Non","Oui","Non","Non","Non","Non","3","3","2011-06-10 00:00:00.000","2015-10-27 00:00:00.000"
"Ecole Sainte Famille","440430017","Clisson","44043","44190","","3","Place De La Trinité","[ 47.086633 , -1.284105]","-1.284105","47.086633","Non","Oui","Non","NULL","Non","Non","Non","0","0","0","0","Etablissement scolaire","Non","Oui","Non","Non","Non","Non","1","1","2011-06-14 00:00:00.000","2015-10-14 00:00:00.000"
"Rives De La Moine","440430018","Clisson","44043","44190","","","Ruelle De La Moine","[ 47.086633 , -1.284105]","-1.284105","47.086633","Non","Oui","Non","NULL","Non","Non","Non","0","0","0","0"," Non","Non","Non","Non","Non","Non","Non","2","2","2011-06-14 00:00:00.000","2015-10-14 00:00:00.000"
"College De La Blairie","440430019","Clisson","44043","44190","La Blairie","","","[ 47.086633 , -1.284105]","-1.284105","47.086633","Non","Oui","Non","NULL","Non","Non","Non","700","0","50","3","Etablissement scolaire","Non","Oui","Non","Non","Non","Non","2","2","2015-12-09 00:00:00.000","2015-12-11 00:00:00.000"
"Stade Pierre Orain","440440001","Conquereuil","44044","44290","","","Rue Du Stade","[ 47.623985 , -1.752325]","-1.752325","47.623985","Oui","Non","Non","0","Non","Non","Non","0","0","0","0"," Non","Non","Oui","Non","Non","Non","Non","2","2","2005-08-02 00:00:00.000","2014-05-06 00:00:00.000"
"Plateau Sportif","440440002","Conquereuil","44044","44290","","","Rue Du Clos Brohant","[ 47.623985 , -1.752325]","-1.752325","47.623985","Oui","Non","Non","NULL","Non","Non","Non","0","0","0","0"," Non","Non","Oui","Non","Non","Non","Non","1","1","2005-09-13 00:00:00.000","2014-05-06 00:00:00.000"
"Circuit De Motocross","440440003","Conquereuil","44044","44290","La Vallée Du Moulin","","","[ 47.623985 , -1.752325]","-1.752325","47.623985","Oui","Non","Non","NULL","Non","Non","Non","0","0","0","0"," Non","Non","Non","Non","Non","Non","Non","1","1","2005-10-20 00:00:00.000","2012-09-19 00:00:00.000"
"Aire Des Potinieres (Les Bords Du Don)","440440005","Conquereuil","44044","44290","","","Allée Des Chênes","[ 47.623985 , -1.752325]","-1.752325","47.623985","Oui","Non","Non","NULL","Non","Non","Non","0","0","0","0"," Non","Non","Oui","Non","Non","Non","Non","2","2","2006-01-19 00:00:00.000","2014-05-06 00:00:00.000"
"Site Du Grand Pont Veix","440440008","Conquereuil","44044","44290","Le Grand Pont Veix","","","[ 47.623985 , -1.752325]","-1.752325","47.623985","Oui","Non","Non","NULL","Non","Oui","Non","0","0","0","0"," Non","Non","Non","Non","Non","Non","Non","1","1","2008-05-21 00:00:00.000","2014-05-06 00:00:00.000"
"Etang De Coisma","440440009","Conquereuil","44044","44290","","","D 129","[ 47.623985 , -1.752325]","-1.752325","47.623985","Oui","Non","Non","NULL","Non","Non","Non","0","0","0","0"," Non","Non","Non","Non","Non","Non","Non","1","1","2008-05-21 00:00:00.000","2014-05-06 00:00:00.000"
"Le Clos Du Don","440440010","Conquereuil","44044","44290","","","Rue Du Stade","[ 47.623985 , -1.752325]","-1.752325","47.623985","Non","Oui","Non","NULL","Non","Non","Non","0","0","3","3"," Non","Non","Oui","Non","Non","Non","Non","1","1","2014-05-06 00:00:00.000","2014-05-06 00:00:00.000"
"Ensemble Sportif","440450001","Cordemais","44045","44360","","","Rue Des Sports","[ 47.289769 , -1.878994]","-1.878994","47.289769","Non","Oui","Non","0","Non","Non","Non","0","0","170","6","Complexe sportif","Non","Non","Non","Non","Non","Non","7","7","2005-08-02 00:00:00.000","2015-06-23 00:00:00.000"
"Complexe Sportif De La Portrais","440450002","Cordemais","44045","44360","La Portrais","","","[ 47.289769 , -1.878994]","-1.878994","47.289769","Oui","Non","Non","NULL","Non","Oui","Non","0","0","25","0"," Non","Non","Non","Non","Non","Non","Non","3","3","2005-11-09 00:00:00.000","2015-06-23 00:00:00.000"
"Hippodrome De La Loire","440450003","Cordemais","44045","44360","","","Route De La Loire","[ 47.289769 , -1.878994]","-1.878994","47.289769","Non","Oui","Non","NULL","Sans logement de gardien","Non","Non","350","0","1000","10"," Non","Non","Non","Non","Non","Non","Non","3","2","2005-11-18 00:00:00.000","2015-06-23 00:00:00.000"
"Circuits De Randonnee","440450004","Cordemais","44045","44360","","","","[ 47.289769 , -1.878994]","-1.878994","47.289769","Oui","Non","Non","NULL","Non","Non","Non","0","0","0","0"," Non","Non","Non","Non","Non","Non","Non","3","3","2005-11-18 00:00:00.000","2015-06-23 00:00:00.000"
"Plan D'Eau De La Cote","440450006","Cordemais","44045","44360","","","","[ 47.289769 , -1.878994]","-1.878994","47.289769","Non","Oui","Non","NULL","Non","Non","Non","0","0","30","0"," Non","Non","Non","Non","Non","Non","Non","2","2","2006-05-18 00:00:00.000","2015-06-23 00:00:00.000"
"Port De Cordemais","440450007","Cordemais","44045","44360","","","","[ 47.289769 , -1.878994]","-1.878994","47.289769","Oui","Non","Non","NULL","Non","Non","Non","0","0","0","0"," Non","Non","Non","Non","Non","Non","Non","1","1","2006-05-18 00:00:00.000","2015-06-23 00:00:00.000"
"Aquamaris","440450008","Cordemais","44045","44360","","","Rue Des Sports","[ 47.289769 , -1.878994]","-1.878994","47.289769","Non","Oui","Non","NULL","Non","Non","Non","0","0","0","0","Piscine","Non","Oui","Non","Non","Non","Non","3","3","2006-05-18 00:00:00.000","2015-06-23 00:00:00.000"
"College Paul Gaugin","440450010","Cordemais","44045","44360","La Portais","","D 49","[ 47.289769 , -1.878994]","-1.878994","47.289769","Non","Oui","Non","NULL","Avec logement de gardien","Non","Non","0","0","30","0","Etablissement scolaire","Non","Non","Non","Non","Non","Non","1","1","2008-10-30 00:00:00.000","2015-06-23 00:00:00.000"
